Region;Nr;Countries
Unknown;0;
Canada;1;Canada (124)
USA;2;St. Pierre and Miquelon (666), United States (840)
Mexico;3;Mexico (484)
Central America;4;Anguilla (660), Aruba (533), Bahamas, The (44), Barbados (52), Belize (84), Bermuda (60), Cayman Islands (136), Costa Rica (188), Dominica (212), Dominican Republic (214), El Salvador (222), Grenada (308), Guadeloupe (312), Guatemala (320), Haiti (332), Honduras (340), Jamaica (388), Martinique (474), Montserrat (500), Netherlands Antilles (530), Nicaragua (558), Panama (591), Puerto Rico (630), St. Kitts and Nevis (659), St. Lucia (662), St. Vincent and the Grenadines (670), Trinidad and Tobago (780), Turks and Caicos Isl. (796), Virgin Isl. (Br.) (92), Virgin Islands (U.S.) (850)
Brazil;5;Brazil (76)
Rest of South America;6;Argentina (32), Bolivia (68), Chile (152), Colombia (170), Ecuador (218), Falklands Isl. (238), French Guyana (254), Guyana (328), Paraguay (600), Peru (604), Suriname (740), Uruguay (858), Venezuela, RB (862)
Northern Africa;7;Algeria (12), Egypt, Arab Rep. (818), Libya (434), Morocco (504), Tunisia (788), Western Sahara (732)
Western Africa;8;Benin (204), Burkina Faso (854), Cameroon (120), Cape Verde (132), Central African Republic (140), Chad (148), Congo, Dem. Rep. (180), Congo, Rep. (178), Cote d'Ivoire (384), Equatorial Guinea (226), Gabon (266), Gambia, The (270), Ghana (288), Guinea (324), Guinea-Bissau (624), Liberia (430), Mali (466), Mauritania (478), Niger (562), Nigeria (566), Sao Tome and Principe (678), Senegal (686), Sierra Leone (694), St. Helena (654), Togo (768)
Eastern Africa;9;Burundi (108), Comoros (174), Djibouti (262), Eritrea (232), Ethiopia (231), Kenya (404), Madagascar (450), Mauritius (480), Reunion (638), Rwanda (646), Seychelles (690), Somalia (706), Sudan (736), Uganda (800)
South Africa;10;South Africa (710)
Western Europe;11;Andorra (20), Austria (40), Belgium (56), Denmark (208), Faeroe Islands (234), Finland (246), France (250), Germany (276), Gibraltar (292), Greece (300), Iceland (352), Ireland (372), Italy (380), Liechtenstein (438), Luxembourg (442), Malta (470), Monaco (492), Netherlands (528), Norway (578), Portugal (620), San Marino (674), Spain (724), Sweden (752), Switzerland (756), United Kingdom (826), Vatican City State (336)
Central Europe;12;Albania (8), Bosnia and Herzegovina (70), Bulgaria (100), Croatia (191), Cyprus (196), Czech Republic (203), Estonia (233), Hungary (348), Latvia (428), Lithuania (440), Macedonia, FYR (807), Poland (616), Romania (642), Serbia and Montenegro (891), Slovak Republic (703), Slovenia (705)
Turkey;13;Turkey (792)
Ukraine region;14;Belarus (112), Moldova (498), Ukraine (804)
Central Asia;15;Kazakhstan (398), Kyrgyz Republic (417), Tajikistan (762), Turkmenistan (795), Uzbekistan (860)
Russia region;16;Armenia (51), Azerbaijan (31), Georgia (268), Russian Federation (643)
Middle East;17;Bahrain (48), Iran, Islamic Rep. (364), Iraq (368), Israel (376), Jordan (400), Kuwait (414), Lebanon (422), Oman (512), Qatar (634), Saudi Arabia (682), Syrian Arab Republic (760), United Arab Emirates (784), Yemen, Rep. (887)
India;18;India (356)
Korea region;19;Korea, Dem. Rep. (408), Korea, Rep. (410)
China region;20;China (156), Hong Kong, China (344), Macao, China (446), Mongolia (496), Taiwan (158)
Southeastern Asia;21;Brunei (96), Cambodia (116), Lao PDR (418), Malaysia (458), Myanmar (104), Philippines (608), Singapore (702), Thailand (764), Vietnam (704)
Indonesia region;22;East Timor (626), Indonesia (360), Papua New Guinea (598)
Japan;23;Japan (392)
Oceania;24;American Samoa (16), Australia (36), Cook Isl. (184), Fiji (242), French Polynesia (258), Kiribati (296), Marshall Islands (584), Micronesia, Fed. Sts. (583), Nauru (520), New Caledonia (540), New Zealand (554), Niue (570), Northern Mariana Islands (580), Palau (585), Pitcairn (612), Samoa (882), Solomon Islands (90), Tokelau (772), Tonga (776), Tuvalu (798), Vanuatu (548), Wallis ans Futuna Island (876)
Rest of South Asia;25;Afghanistan (4), Bangladesh (50), Bhutan (64), Maldives (462), Nepal (524), Pakistan (586), Sri Lanka (144)
Rest of Southern Africa;26;Angola (24), Botswana (72), Lesotho (426), Malawi (454), Mozambique (508), Namibia (516), Swaziland (748), Tanzania (834), Zambia (894), Zimbabwe (716)
Greenland;27;Greenland
Antarctica;28;Antarctica